subject	n_total	n_no_dist	n_dist	n_HP	n_LP	RT_no_dist	RT_dist	RT_HP	RT_LP	RT_dist_minus_no	RT_HP_minus_LP	RT_HP_minus_no
1	690	139	551	348	203	0.9097196283957941	0.9561796478264561	0.939745316560241	0.9843527871399678	0.046460019430662025	-0.044607470579726805	0.03002568816444684
2	627	128	499	320	179	0.8290562983602285	0.8960521727621197	0.8806588657200336	0.9235709339546758	0.06699587440189114	-0.04291206823464222	0.05160256735980506
3	664	136	528	331	197	0.7656243759043077	0.7875149159720449	0.7796118742029472	0.800793630822661	0.021890540067737274	-0.021181756619713776	0.013987498298639545
4	535	111	424	268	156	1.0279526366843834	1.0224055361072972	1.0133023075203398	1.038044415987455	-0.005547100577086184	-0.02474210846711511	-0.01465032916404363
5	657	135	522	331	191	0.8722772545284695	0.8935336902223784	0.8805698570528059	0.9159998094848313	0.021256435693908893	-0.0354299524320254	0.00829260252433639
6	638	137	501	324	177	0.8201522600911829	0.8672616010654473	0.8652413781778312	0.8709596361817613	0.047109340974264335	-0.00571825800393011	0.04508911808664828
7	648	136	512	320	192	0.6929958427653593	0.7071121288463473	0.6962964527308941	0.7251382557054361	0.014116286080988028	-0.028841802974541975	0.0033006099655348287
8	573	121	452	286	166	1.0098651736235815	1.0193979972231704	0.9967130005776466	1.0584817866244949	0.009532823599588847	-0.06176878604684832	-0.013152173045934967
9	423	76	347	226	121	1.0020271602429842	0.9639251280243184	0.9529388182986099	0.9844450123053937	-0.038102032218665816	-0.03150619400678378	-0.04908834194437428
10	668	135	533	334	199	0.8733867292050962	0.8892922817430622	0.8857668880930918	0.8952092741002988	0.015905552537965995	-0.009442386007207038	0.012380158887995596
11	651	130	521	334	187	0.8050945337002094	0.8431849127310023	0.8214398929458893	0.8820236111707228	0.03809037903079282	-0.06058371822483355	0.016345359245679814
12	659	137	522	329	193	0.7707431177153204	0.824852144581148	0.8142556890528253	0.8429155325024856	0.054109026865827525	-0.028659843449660327	0.04351257133750486
13	652	135	517	326	191	0.8853300959975631	0.8974750254094255	0.880254292049291	0.9268674813015922	0.012144929411862404	-0.04661318925230129	-0.005075803948272117
14	588	119	469	292	177	0.8175717882749414	0.8190740532458209	0.8148873758642641	0.8259808882481634	0.0015022649708795743	-0.011093512383899329	-0.002684412410677295
15	685	137	548	342	206	0.7723171641356754	0.8315746066344045	0.8101649423788863	0.8671188065149251	0.05925744249872911	-0.05695386413603887	0.03784777824321084
16	662	140	522	323	199	0.7317100712231227	0.7251331098234973	0.7244570380763004	0.7262304524081437	-0.006576961399625381	-0.0017734143318433038	-0.007253033146822352
17	672	137	535	340	195	0.7369864596067554	0.7723198560910804	0.7582847959855024	0.7967912429418319	0.0353333964843251	-0.03850644695632954	0.021298336378747007
18	613	139	474	304	170	0.9568369714476221	0.9639827209182933	0.9566212727835304	0.9771467222886927	0.007145749470671148	-0.02052544950516233	-0.00021569866409176797
19	534	113	421	271	150	0.9513117971673476	0.9621101671613027	0.9480888254088229	0.9874420579274495	0.010798369993955115	-0.03935323251862666	-0.0032229717585247064
20	617	129	488	307	181	0.945666231850321	1.0028837176619982	0.996351479707401	1.0139632593860943	0.05721748581167729	-0.017611779678693318	0.05068524785708006
21	680	141	539	340	199	0.7881712152602824	0.8071268440841081	0.8067119605400983	0.8078356903402051	0.01895562882382562	-0.0011237298001067764	0.018540745279815862
22	542	110	432	271	161	1.0635032653808594	1.097143182599986	1.0847093355171795	1.1180722047083127	0.033639917219126625	-0.03336286919113318	0.021206070136320143
23	599	124	475	305	170	0.7635919624759305	0.7934687453822086	0.7879635662329002	0.8033456844442031	0.029876782906278043	-0.015382118211302864	0.024371603756969673
24	671	137	534	334	200	0.9511279433313078	0.9735731538315391	0.959863806912999	0.9964677631855011	0.022445210500231294	-0.036603956272502125	0.008735863581691206
25	641	138	503	326	177	0.7487232114957727	0.8010647358524633	0.7922701755184337	0.8172626266371732	0.052341524356690594	-0.02499245111873949	0.043546964022661006
26	538	112	426	267	159	0.8990561727966581	0.9291903524891312	0.9210999199513639	0.9427761731657592	0.030134179692473118	-0.02167625321439537	0.022043747154705806
27	681	136	545	347	198	0.8000649827368119	0.8069095751561156	0.8009693622589111	0.8173199482638427	0.0068445924193036856	-0.016350586004931555	0.0009043795220992079
28	696	142	554	349	205	0.7528505577167994	0.7971239954986297	0.7870474777112376	0.8142786526098484	0.04427343778183024	-0.02723117489861082	0.03419691999443819
29	660	138	522	330	192	0.9657973154731418	0.971830188542947	0.9646911736690637	0.9841003703574339	0.006032873069805156	-0.019409196688370267	-0.0011061418040781978
30	561	128	433	281	152	0.9376823678612709	0.9817903344680751	0.9806768266331682	0.9838488588207647	0.04410796660680416	-0.0031720321875964297	0.04299445877189734
